fecha,presentacion,origen,destino,precio_minimo,precio_maximo,precio_frecuente,obs,fecha_inicio_query,fecha_final_query,producto_id,origen_id,destino_id,origen_query,destino_query,precios_por_id,registros_por_pagina,fuente,fecha_extraccion
11/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,27.78,33.33,31.11,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,30.0,35.56,32.22,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,31.11,36.67,33.33,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,36.5,42.9,38.9,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,36.5,42.9,38.9,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,36.5,42.9,38.9,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,36.5,42.9,38.9,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,36.5,42.9,38.9,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,38.9,45.5,41.5,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,38.9,45.5,41.5,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,38.9,45.5,41.5,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Caja de 10 kg.,Michoacán,Durango: Centro de Distribución y Abasto de Gómez Palacio,38.9,45.5,41.5,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,42.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,42.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,42.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,42.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,42.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,43.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,43.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,43.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
